Name Prefix,First Name,Middle Name,Last Name,Name Suffix,Phonetic First Name,Phonetic Middle Name,Phonetic Last Name,Nickname,File As,E-mail 1 - Label,E-mail 1 - Value,Phone 1 - Label,Phone 1 - Value,Address 1 - Label,Address 1 - Country,Address 1 - Street,Address 1 - Extended Address,Address 1 - City,Address 1 - Region,Address 1 - Postal Code,Address 1 - PO Box,Organization Name,Organization Title,Organization Department,Birthday,Event 1 - Label,Event 1 - Value,Relation 1 - Label,Relation 1 - Value,Website 1 - Label,Website 1 - Value,Custom Field 1 - Label,Custom Field 1 - Value,Notes,Labels
,I - WW 44029090,,ATA LTD,,,,,,,,,,+1 501-624-5788,,United States,,,Hot Springs,"1720 Higdon Ferry Rd Ste. 101, Hot Springs, AR 71913, USA",,,ATA LTD,,,,,,,,,https://ata.net/hot-springs-ar,,,,
,I - WW 44029090,,ASLAN INVESTMENT LIMITED,,,,,,,,,,+1 306-241-6215,,Canada,,,Saskatoon,"333 25 St E #505, Saskatoon, SK S7K 2L8, Canada",,,ASLAN INVESTMENT LIMITED,,,,,,,,,https://aslancapitalsask.ca/,,,,
,I - WW 44029090,,ОАО АРХМОРТОРГПОРТ,,,,,,,,,,+7 818 221-05-80,,Russia,,,Arkhangel'sk,"ул. Космонавта Комарова, 14 стр. 2, Arkhangel'sk, Arkhangelskaya oblast', Russia, 163026",,,ОАО АРХМОРТОРГПОРТ,,,,,,,,,https://ascp.ru/,,,,
,I - WW 44029090,,COMPANY AROSA,,,,,,,,,,+1 615-595-8929,,United States,,,Brentwood,"277 Wilson Pike Cir #102A, Brentwood, TN 37027, USA",,,COMPANY AROSA,,,,,,,,,https://arosacare.com/locations/nashville/,,,,
,I - WW 44029090,,ARMENIAN APOSTOLIC CHURCH FIRST THRONED SACRED ECHMIADZIN,,,,,,,,,,+374 10 517110,,Armenia,,,Vagharshapat,"1 Araratyan Street, Vagharshapat 1101, Armenia",,,ARMENIAN APOSTOLIC CHURCH FIRST THRONED SACRED ECHMIADZIN,,,,,,,,,https://armenianchurch.org/,,,,
,I - WW 44029090,,ООО АРКТИКАТРАНСХАРАСАВЭЙ,,,,,,,,,,+7 343 287-77-17,,Russia,,,Yekaterinburg,"Ulitsa Tokarey, 40, Yekaterinburg, Sverdlovskaya oblast', Russia, 620109",,,ООО АРКТИКАТРАНСХАРАСАВЭЙ,,,,,,,,,https://arktik.ru/,,,,
,I - WW 44029090,,ARENA GUMRUKLEME KOM NAK GIDA,,,,,,,,,,+90 324 237 48 00,,Türkiye,,,,"Yeni, Umat Plaza, İsmet İnönü Blv. No : 54 Kat : 18 D : 15, 33050 Akdeniz/Mersin, Türkiye",,,ARENA GUMRUKLEME KOM NAK GIDA,,,,,,,,,https://arenagumrukleme.com.tr/,,,,
,I - WW 44029090,,ARABIC AMERICAN SALOON,,,,,,,,,,+1 773-672-7774,,United States,,,Chicago,"332 S Michigan Ave, Chicago, IL 60604, USA",,,ARABIC AMERICAN SALOON,,,,,,,,,https://arabbar.org/,,,,
,I - WW 44029090,,APROTEHPRO SRL MOLDOVA,,,,,,,,,,+373 600 02 910,,Moldova,,,Grătiești,"Strada Calea Orheiului 11km com, Grătiești, Moldova",,,APROTEHPRO SRL MOLDOVA,,,,,,,,,https://aproteh.md/,,,,
,I - WW 44029090,,DHL GLOBAL FORWARDING HONG KONG LIMITED,,,,,,,,,,+852 2218 6388,,Hong Kong,,,,"Edge, 4/F, Kwai Wing Rd, Kwai Chung, Hong Kong",,,DHL GLOBAL FORWARDING HONG KONG LIMITED,,,,,,,,,https://app.mydhli.com/get-a-quote/,,,,
,I - WW 44029090,,ATLANTIC CONTAINER LINE,,,,,,,,,,+1 562-428-8856,,United States,,,Long Beach,"4425 Atlantic Ave # A14, Long Beach, CA 90807, USA",,,ATLANTIC CONTAINER LINE,,,,,,,,,https://apcl1.net/,,,,
,I - WW 44029090,,OOO AVTO ANTARES STAR,,,,,,,,,,+7 922 652-66-00,,Russia,,,Surgut,"Yugorskaya Ulitsa, 5-4, Surgut, Khanty-Mansiyskiy avtonomnyy okrug, Russia, 628401",,,OOO AVTO ANTARES STAR,,,,,,,,,https://antares626600.wixsite.com/antares,,,,
,I - WW 44029090,,CÔNG TY CỔ PHẦN AN QUẢNG,,,,,,,,,,+84 968 866 338,,Vietnam,,,,"Sh30, Chung cư TSG LOTUS, 190 P. Sài Đồng, TT. Sài Đồng, Long Biên, Hà Nội 110000, Vietnam",,,CÔNG TY CỔ PHẦN AN QUẢNG,,,,,,,,,https://anquang.vn/,,,,
,I - WW 44029090,,AMJEY CHEMICALS,,,,,,,,,,+91 93500 66998,,India,,,New Delhi,"D-MALL, 507/A, Netaji Subhash Place, Pitampura, New Delhi, Delhi, 110034, India",,,AMJEY CHEMICALS,,,,,,,,,https://amjeygroup.com/,,,,
,I - WW 44029090,,C O AMG ALUMINUM NORTH AMERICA LLC,,,,,,,,,,+1 509-663-2165,,United States,,,Malaga,"4400 Kawecki Rd, Malaga, WA 98828, USA",,,C O AMG ALUMINUM NORTH AMERICA LLC,,,,,,,,,https://amg-al.com/contact/,,,,
,I - WW 44029090,,TO ORDER OF SOCIETE GENERALE,,,,,,,,,,+1 713-759-6300,,United States,,,Houston,"1111 Bagby St, Houston, TX 77002, USA",,,TO ORDER OF SOCIETE GENERALE,,,,,,,,,https://americas.societegenerale.com/,,,,
,I - WW 44029090,,AMBICA STEELS LTD,,,,,,,,,,+91 11 4703 4400,,India,,,New Delhi,"C-54/1, Wazirpur Industrial Area Rd, Block B, Wazirpur Industrial Area, Ashok Vihar, New Delhi, Delhi, 110052, India",,,AMBICA STEELS LTD,,,,,,,,,https://ambicasteels.com/,,,,
,I - WW 44029090,,ALZAHRA UNIVERSITY,,,,,,,,,,+98 21 8804 4040,,Iran,,,Tehran,"Tehran, استان تهران تهران Vanak Village Street، 19938 93973, Iran",,,ALZAHRA UNIVERSITY,,,,,,,,,https://alzahra.ac.ir/,,,,
,I - WW 44029090,,ТОВ АЛТ УКРАЇНА ЛТД,,,,,,,,,,+380 44 492 7270,,Ukraine,,,Kyiv,"Mytropolyta Andreia Sheptytskoho St, 4, Kyiv, Ukraine, 02002",,,ТОВ АЛТ УКРАЇНА ЛТД,,,,,,,,,https://alt.ua/,,,,
,I - WW 44029090,,AL SHEHILI FACTORY RIYADH,,,,,,,,,,+966 9200 10000,,Saudi Arabia,,,Riyadh,"Eastern Ring Rd Ext, Al-Manakh, Riyadh 14314, Saudi Arabia",,,AL SHEHILI FACTORY RIYADH,,,,,,,,,https://alshehili.com/,,,,
,I - WW 44029090,,M S ALPHA CHEMICAL CO,,,,,,,,,,+1 781-344-8688,,United States,,,Stoughton,"46 Morton St, Stoughton, MA 02072, USA",,,M S ALPHA CHEMICAL CO,,,,,,,,,https://alphachemical.com/,,,,
,I - WW 44029090,,ALLINK TRANSPORTES INTERNACIONAIS LTDA,,,,,,,,,,+55 11 3254-9700,,Brazil,,,,"Alameda dos Maracatins, 1217 Conjunto 1017 - 10º Andar - Moema, São Paulo - SP, 04089-014, Brazil",,,ALLINK TRANSPORTES INTERNACIONAIS LTDA,,,,,,,,,https://allink.com.br/,,,,
,I - WW 44029090,,ALIVIAR CARGO AND LOGISTICS LIMITED,,,,,,,,,,+256 760 046568,,Uganda,,,Kampala,"Plot 19 Nkrumah Rd, Kampala, Uganda",,,ALIVIAR CARGO AND LOGISTICS LIMITED,,,,,,,,,https://aliviarcargolg.com/,,,,
,I - WW 44029090,,ALIM GRUP SANAYI IC VE DIS TICARET LIMITED SIRKETI,,,,,,,,,,+90 212 670 10 74,,Türkiye,,,,"Ömerli, Arefe Sk. No:21/23, 34555 Arnavutköy/İstanbul, Türkiye",,,ALIM GRUP SANAYI IC VE DIS TICARET LIMITED SIRKETI,,,,,,,,,https://alimgrup.com/,,,,
,I - WW 44029090,,ALIBABA CAFE RESTAURANT,,,,,,,,,,+1 850-986-5555,,United States,,,Fort Walton Beach,"550 Mary Esther Cut Off NW #13, Fort Walton Beach, FL 32548, USA",,,ALIBABA CAFE RESTAURANT,,,,,,,,,https://alibabagrillcafe.weebly.com/,,,,
,I - WW 44029090,,ALFA SOLVENTS PVT LTD,,,,,,,,,,+91 11 4351 1812,,India,,,Delhi,"M2J7+P72, Mundka Industrial Area, Mundka, Delhi, 110081, India",,,ALFA SOLVENTS PVT LTD,,,,,,,,,https://alfasolvents.com/,,,,
,I - WW 44029090,,ALFA FORWARDING LTD SP ZO O,,,,,,,,,,+48 58 661 22 27,,Poland,,,Gdynia,"Podolska 21, 81-321 Gdynia, Poland",,,ALFA FORWARDING LTD SP ZO O,,,,,,,,,https://alfaforwarding.pl/,,,,
,I - WW 44029090,,ALBA WHEELS UP INTERNATIONAL INC,,,,,,,,,,+1 718-276-3000,,United States,,,Valley Stream,"1 E Lincoln Ave, Valley Stream, NY 11580, USA",,,ALBA WHEELS UP INTERNATIONAL INC,,,,,,,,,https://albawheelsup.com/,,,,
,I - WW 44029090,,FOREIGN ENTERPRISE LIMITED LIABILITY COMPANY BARAKA HOLDING,,,,,,,,,,+971 2 555 1666,,United Arab Emirates,,,Abu Dhabi,Musaffah - M24 - Abu Dhabi - United Arab Emirates,,,FOREIGN ENTERPRISE LIMITED LIABILITY COMPANY BARAKA HOLDING,,,,,,,,,https://albarakah.ae/,,,,
,I - WW 44029090,,AL AMEEN COLLEGE OF PHARMACY,,,,,,,,,,+91 80 2223 4619,,India,,,Bengaluru,"Hosur Main Road, opp. Lalbagh Main Gate, Sudhama Nagar, Bengaluru, Karnataka 560027, India",,,AL AMEEN COLLEGE OF PHARMACY,,,,,,,,,https://alameenpharmacy.edu/,,,,
,I - WW 44029090,,AKTAU AKZHOL SERVICE LLP,,,,,,,,,,+7 7292 20 34 99,,Kazakhstan,,,Aktau,"Промышленная зона 9/43, Aktau 130000, Kazakhstan",,,AKTAU AKZHOL SERVICE LLP,,,,,,,,,https://akzhol-group.kz/,,,,
,I - WW 44029090,,AK GROUP LLC,,,,,,,,,,+1 888-366-2213,,United States,,,St. Joseph,"1101 Broad St Ste 315, St Joseph, MI 49085, USA",,,AK GROUP LLC,,,,,,,,,https://akgroup.net/,,,,
,I - WW 44029090,,AKD LOJISTIK KUYUMCULUK HAYVANCILIK PETROL TICARET LIMITED SIRKETI,,,,,,,,,,+90 374 240 45 45,,Türkiye,,,,"Karaçayır, Aydın Sk. No:2, 14200 Bolu Merkez/Bolu, Türkiye",,,AKD LOJISTIK KUYUMCULUK HAYVANCILIK PETROL TICARET LIMITED SIRKETI,,,,,,,,,https://akdlojistik.com/,,,,
,I - WW 44029090,,LLP AKAY TRADE,,,,,,,,,,+7 727 382 1892,,Kazakhstan,,,Almaty,"офис 1, Suyunbai Ave 66B, Almaty, Kazakhstan",,,LLP AKAY TRADE,,,,,,,,,https://akaytrade.all.biz/?utm_source=google&utm_medium=gmb&utm_term=gmb,,,,
,I - WW 44029090,,AHALIA HOSPITAL,,,,,,,,,,+971 2 626 2666,,United Arab Emirates,,,Abu Dhabi,opp Liwa Center - Hamdan Bin Mohammed St - Al Danah - E6 - Abu Dhabi - United Arab Emirates,,,AHALIA HOSPITAL,,,,,,,,,https://ahaliagroup.com/ahh/,,,,
,I - WW 44029090,,ООО АГРОВИТ,,,,,,,,,,+7 495 745-65-29,,Russia,,,Balashikha,"Zvezdnaya Ulitsa, 7, Balashikha, Moskovskaya oblast', Russia, 143909",,,ООО АГРОВИТ,,,,,,,,,https://agrovit87.ru/,,,,
,I - WW 44029090,,AGHA STEELINDUSTRIES,,,,,,,,,,+92 21 111 112 442,,Pakistan,,,Karachi,"Qasim Port Rd, North Western Industrial Zone Port Qasim North Western Industrial Zone، Karachi, Karachi City, Sindh, Pakistan",,,AGHA STEELINDUSTRIES,,,,,,,,,https://aghasteel.com/,,,,
,I - WW 44029090,,FARMERS ASSISTANT LIMITED,,,,,,,,,,+1 520-325-5000,,United States,,,Tucson,"3565 E Speedway Blvd #101, Tucson, AZ 85716, USA",,,FARMERS ASSISTANT LIMITED,,,,,,,,,https://agents.farmers.com/az/tucson/nathan-pederson?SourceID=AMPALFGMAG&utm_source=GMB&utm_medium=Local&y_source=1_Mzg0Mzc1NTctNzE1LWxvY2F0aW9uLndlYnNpdGU=,,,,
,I - WW 44029090,,AFFORABLE SOLAR PRO JECT,,,,,,,,,,+1 505-944-4220,,United States,,,Albuquerque,"4401 McLeod Rd NE suite a, Albuquerque, NM 87109, USA",,,AFFORABLE SOLAR PRO JECT,,,,,,,,,https://affordable-solar.com/,,,,
,I - WW 44029090,,AFAQ STEEL,,,,,,,,,,+971 6 577 8612,,United Arab Emirates,,,Sharjah,"Office A/410, Al Fardan Centre - Al Majaz 3 - Al Majaz - Sharjah - United Arab Emirates",,,AFAQ STEEL,,,,,,,,,https://afaqsteel.com/,,,,
,I - WW 44029090,,ALSAUDIA ADVANCED PHARMACEUTICAL INDUSTR,,,,,,,,,,+966 9200 13681,,Saudi Arabia,,,جدة,"3397، 6493 احمد العطاس، حي الزهراء, 3397, جدة 23521, Saudi Arabia",,,ALSAUDIA ADVANCED PHARMACEUTICAL INDUSTR,,,,,,,,,https://adv-pharma.com/,,,,
,I - WW 44029090,,PT ANUGERAH DWI PRATAMA,,,,,,,,,,+62 816-1830-549,,Indonesia,,,,"LTC Glodok Lantai 1 Blok C-30 No.25 & 26 dan Blok B-23.5, Jl. Hayam Wuruk No.127, Mangga Besar, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11180, Indonesia",,,PT ANUGERAH DWI PRATAMA,,,,,,,,,https://adpboilerparts.com/,,,,
,I - WW 44029090,,NIDEC CONTROL TECHNIQUES LIMITED,,,,,,,,,,+1 718-417-3131,,United States,,,,"3050 Whitestone Expy, Flushing, NY 11354, USA",,,NIDEC CONTROL TECHNIQUES LIMITED,,,,,,,,,https://acim.nidec.com/elevators/motion-control-engineering,,,,
,I - WW 44029090,,UMLCORE CANADA INC,,,,,,,,,,+1 905-336-3424,,Canada,,,Burlington,"4261 Mainway, Burlington, ON L7L 5N9, Canada",,,UMLCORE CANADA INC,,,,,,,,,https://ac.umicore.com/en/,,,,
,I - WW 44029090,,AASHNI CO LTD,,,,,,,,,,+91 91521 25954,,India,,,Mumbai,"Ador House, 6, K Dubash Marg, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",,,AASHNI CO LTD,,,,,,,,,https://aashniandco.com/?utm_source=organic&utm_medium=GMB&utm_campaign=GMB_mumbai,,,,
,I - WW 44029090,,CHIG ATOY BIZNES LLC,,,,,,,,,,+1 877-244-0007,,United States,,,Tukwila,"14900 Interurban Ave S #293, Tukwila, WA 98168, USA",,,CHIG ATOY BIZNES LLC,,,,,,,,,https://17squares.com/,,,,
,I - WW 44029090,,ООО СОЮЗУГОЛЬ,,,,,,,,,,+7 343 328-97-89,,Russia,,,Yekaterinburg,"Khlebnaya Ulitsa, 15, Yekaterinburg, Sverdlovskaya oblast', Russia, 620030",,,ООО СОЮЗУГОЛЬ,,,,,,,,,http://союз-уголь.рф/,,,,
,I - WW 44029090,,ООО РЕГИОНСОЛЬ,,,,,,,,,,+7 384 244-12-99,,Russia,,,Kemerovo,"Ulitsa Mekhanizatorov, 1а, Kemerovo, Kemerovskaya oblast', Russia, 650051",,,ООО РЕГИОНСОЛЬ,,,,,,,,,http://регионсоль42.рф/,,,,
,I - WW 44029090,,ООО РЕГИОН,,,,,,,,,,+7 861 771-08-00,,Russia,,,Novorossiysk,"Prospekt Lenina, 2, Novorossiysk, Krasnodarskiy kray, Russia, 353905",,,ООО РЕГИОН,,,,,,,,,http://ооорегион.рф/,,,,
,I - WW 44029090,,ООО АГРОСФЕРА,,,,,,,,,,+7 487 270-04-55,,Russia,,,Gremyachevo,"301483 ул, Молодежная, 6, Gremyachevo, Tulskaya oblast', Russia, 301483",,,ООО АГРОСФЕРА,,,,,,,,,http://оооагросфера.рф/,,,,
,I - WW 44029090,,PJSC SEVERSTAL,,,,,,,,,,+7 820 253-30-53,,Russia,,,Cherepovets,"Ulitsa Mira, 30, Cherepovets, Vologodskaya oblast', Russia, 162610",,,PJSC SEVERSTAL,,,,,,,,,http://неликвиды35.рф/,,,,
,I - WW 44029090,,ООО АССОЦИАЦИЯ СТРОИТЕЛЕЙ АЯМ,,,,,,,,,,+7 411 453-52-75,,Russia,,,Aldan,"Ulitsa Kosmacheva, 3а, Aldan, Respublika Sakha (Yakutiya), Russia, 678900",,,ООО АССОЦИАЦИЯ СТРОИТЕЛЕЙ АЯМ,,,,,,,,,http://аям.рф/,,,,
,I - WW 44029090,,LIMITED LIABILITY COMPANY ZOOMLION HEAVY INDUSTRY RUS,,,,,,,,,,+7 925 048-88-05,,Russia,,,Khimki,"Транспортный пр., 2, Khimki, Moskovskaya oblast', Russia, 141401",,,LIMITED LIABILITY COMPANY ZOOMLION HEAVY INDUSTRY RUS,,,,,,,,,http://zoomlionheavy.ru/,,,,
,I - WW 44029090,,ZOOMARKET SRL MOLDOVA,,,,,,,,,,+373 691 84 723,,Moldova,,,Chișinău,"Strada Ștefan Neaga 68, MD-2064, Chișinău, Moldova",,,ZOOMARKET SRL MOLDOVA,,,,,,,,,http://zoomarket.md/,,,,
,I - WW 44029090,,ZOE DESIGNS LIMITED,,,,,,,,,,+1 415-896-1438,,United States,,,San Francisco,"1048 Folsom St, San Francisco, CA 94103, USA",,,ZOE DESIGNS LIMITED,,,,,,,,,http://zoepd.com/,,,,
,I - WW 44029090,,OOO ZAVOD EKO TEHNOLOGIJ LLC,,,,,,,,,,+7 911 000-91-91,,Russia,,,Sankt-Peterburg,"Litovskaya Ulitsa, дом 10, Sankt-Peterburg, Russia, 194100",,,OOO ZAVOD EKO TEHNOLOGIJ LLC,,,,,,,,,http://zet.spb.ru/,,,,
,I - WW 44029090,,ZAKONIN INTERNATIONAL,,,,,,,,,,+92 331 2137755,,Pakistan,,,Karachi,"no 63, Industrial plot, 24 Korangi Industrial Area Rd, Sector 24 Korangi Industrial Area, Karachi, Karachi City, Sindh 75900, Pakistan",,,ZAKONIN INTERNATIONAL,,,,,,,,,http://zakonin.com/,,,,
,I - WW 44029090,,OOO RETEYL TRADE YUG,,,,,,,,,,+7 800 222-10-14,,Russia,,,Novorossiysk,"Ulitsa Mira, 1м, офис 28, Novorossiysk, Krasnodarskiy kray, Russia, 353900",,,OOO RETEYL TRADE YUG,,,,,,,,,http://yug-trade.com/,,,,
,I - WW 44029090,,NO COMPANY,,,,,,,,,,+91 80560 05099,,India,,,Samaspur,"Unit No. 513, Ocus Quantum, Sector 51, Samaspur, Gurugram, Haryana 122001, India",,,NO COMPANY,,,,,,,,,http://yapitahealth.com/,,,,
,I - WW 44029090,,RBT,,,,,,,,,,+1 559-647-0693,,United States,,,Reedley,"6801 Ave 430, Reedley, CA 93654, USA",,,RBT,,,,,,,,,http://www1.cv-ag.com/,,,,
,I - WW 44029090,,ZYTEK GROUP LIMITED,,,,,,,,,,+1 248-994-4314,,United States,,,Novi,"28175 Haggerty Rd # 158, Novi, MI 48377, USA",,,ZYTEK GROUP LIMITED,,,,,,,,,http://www.zytekautomotive.com/,,,,
,I - WW 44029090,,ZUIDNATIE TERMINAL ZUID,,,,,,,,,,+32 3 205 97 00,,Belgium,,,Antwerpen,"Narvikstraat 03, 2030 Antwerpen, Belgium",,,ZUIDNATIE TERMINAL ZUID,,,,,,,,,http://www.zuidnatie.be/,,,,
,I - WW 44029090,,ZOO MED LAB INC,,,,,,,,,,+1 888-496-6633,,United States,,,San Luis Obispo,"3650 Sacramento Dr, San Luis Obispo, CA 93401, USA",,,ZOO MED LAB INC,,,,,,,,,http://www.zoomed.com/,,,,
,I - WW 44029090,,SC GFT AMBROS SRL MOLDOVA,,,,,,,,,,+373 683 03 030,,Moldova,,,Chișinău,"Strada Ginta Latină 1/2, MD-2075, Chișinău, Moldova",,,SC GFT AMBROS SRL MOLDOVA,,,,,,,,,http://www.zoomagazin.md/,,,,
,I - WW 44029090,,ZOOFARMAGRO SRL MOLDOVA,,,,,,,,,,+373 602 02 300,,Moldova,,,Chișinău,"Strada Mitropolit Varlaam 74, Chișinău, Moldova",,,ZOOFARMAGRO SRL MOLDOVA,,,,,,,,,http://www.zoofarmagro.md/,,,,
,I - WW 44029090,,ZODIAC,,,,,,,,,,+1 480-500-9311,,United States,,,Queen Creek,"22707 S Ellsworth Rd Bldg H Ste 104 Rm 6, Queen Creek, AZ 85142, USA",,,ZODIAC,,,,,,,,,http://www.zodiacbeautybar.com/,,,,
,I - WW 44029090,,ZOBELE DO BRASIL LTDA,,,,,,,,,,+55 51 3365-2919,,Brazil,,,,"R. Marcos Wainstein, 440 - Distrito Industrial, Cachoeirinha - RS, 94930-360, Brazil",,,ZOBELE DO BRASIL LTDA,,,,,,,,,http://www.zobele.com/,,,,
,I - WW 44029090,,ООО ЗАВОДОУКОВСКИЙ МАСЛОЗАВОД,,,,,,,,,,+7 345 266-28-49,,Russia,,,Tyumen,"Vodoprovodnaya Ulitsa, 34, Ofis 200, Tyumen, Tyumenskaya oblast', Russia, 625000",,,ООО ЗАВОДОУКОВСКИЙ МАСЛОЗАВОД,,,,,,,,,http://www.zmz72.ru/,,,,
,I - WW 44029090,,ООО ЗМЗ,,,,,,,,,,+7 351 367-30-70,,Russia,,,Zlatoust,"Ulitsa Kirova, 1, Zlatoust, Chelyabinskaya oblast', Russia, 456203",,,ООО ЗМЗ,,,,,,,,,http://www.zmk.ru/,,,,
,I - WW 44029090,,STANDARD BRANDS TRADING IRELAND LTD,,,,,,,,,,+353 42 937 2140,,Ireland,,,,"Kilsaran, Milestown, Castlebellingham, Co. Louth, A91 XT59, Ireland",,,STANDARD BRANDS TRADING IRELAND LTD,,,,,,,,,http://www.zipfires.ie/,,,,
,I - WW 44029090,,ZF SERVICES UK LIMITED,,,,,,,,,,+44 333 240 1123,,United Kingdom,,,,"Abbeyfield Rd, Nottingham NG7 2SX, UK",,,ZF SERVICES UK LIMITED,,,,,,,,,http://www.zf.com/uk,,,,
,I - WW 44029090,,ZENITH METALIK ALLOYS LIMITED,,,,,,,,,,+91 33 2242 2396,,India,,,Kolkata,"133, B.R.B.B. Road, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001, India",,,ZENITH METALIK ALLOYS LIMITED,,,,,,,,,http://www.zenithmetals.com/,,,,
,I - WW 44029090,,ZAYN DISTRIBUTION LLC,,,,,,,,,,+1 305-400-9482,,United States,,,Miami,"2047 NW 24th Ave, Miami, FL 33142, USA",,,ZAYN DISTRIBUTION LLC,,,,,,,,,http://www.zengroup.us/,,,,
,I - WW 44029090,,CÔNG TY TNHH ZENG HSING INDUSTRIAL,,,,,,,,,,+84 977 644 484,,Vietnam,,,Thuận An,"20A Số 6, KCN Việt Nam Singapore, Thuận An, Bình Dương, Vietnam",,,CÔNG TY TNHH ZENG HSING INDUSTRIAL,,,,,,,,,http://www.zenghsing.com.tw/,,,,
,I - WW 44029090,,ZEN DEN LTD,,,,,,,,,,+1 316-500-2242,,United States,,,Wichita,"1029 W Douglas Ave STE 202, Wichita, KS 67213, USA",,,ZEN DEN LTD,,,,,,,,,http://www.zendenict.com/,,,,
,I - WW 44029090,,ТОВ ЗЕЛЕНА ЛІНІЯ,,,,,,,,,,+380 48 777 6475,,Ukraine,,,Odesa,"Shevchenka Ave, 33б, Ofis 80, Odesa, Odes'ka oblast, Ukraine, 65058",,,ТОВ ЗЕЛЕНА ЛІНІЯ,,,,,,,,,http://www.zelenaya-liniya.com/,,,,
,I - WW 44029090,,ZHARMA JS LLP,,,,,,,,,,+1 941-226-0735,,United States,,,Bradenton,"5550 26th St W Ste 6, Bradenton, FL 34207, USA",,,ZHARMA JS LLP,,,,,,,,,http://www.zaszaccounting.com/,,,,
,I - WW 44029090,,WORLD LOGISTICS LLC,,,,,,,,,,+1 818-435-1919,,United States,,,Los Angeles,"9980 Glenoaks Blvd STE H, Sun Valley, CA 91352, USA",,,WORLD LOGISTICS LLC,,,,,,,,,http://www.zaicargo.com/,,,,
,I - WW 44029090,,ZAHID AUTOS,,,,,,,,,,+1 760-905-8642,,United States,,,Coachella,"51229 Cesar Chavez St D1, Coachella, CA 92236, USA",,,ZAHID AUTOS,,,,,,,,,http://www.zahidimotors.com/,,,,
,I - WW 44029090,,YUKA ELECTRONIC HONGKONG GROUP CO LTD,,,,,,,,,,+852 3426 2000,,Hong Kong,,,,"Hong Kong, Kwun Tong, 九龍觀塘駿業街62號京貿中心",,,YUKA ELECTRONIC HONGKONG GROUP CO LTD,,,,,,,,,http://www.yukuto.com/,,,,
,I - WW 44029090,,PREMIUM CONCEPTS LLC,,,,,,,,,,+971 56 202 4262,,United Arab Emirates,,,Al Raafah,HM5H+WQ5 - Umm Al Thuoob - Emirate of Umm Al Quwain - United Arab Emirates,,,PREMIUM CONCEPTS LLC,,,,,,,,,http://www.yralconcepts.com/,,,,
,I - WW 44029090,,YOLTAN CORPORATION PAHANG SDN BHD,,,,,,,,,,+60 9-277 9876,,Malaysia,,,Mentakab,"No. 9, Jalan Industri 3, Taman Perindustrian Temerloh, Mentakab, 28400, Mentakab, Pahang, Taman Perindustrian Temerloh, 28400 Mentakab, Pahang, Malaysia",,,YOLTAN CORPORATION PAHANG SDN BHD,,,,,,,,,http://www.yoltan-biofuels.com/,,,,
,I - WW 44029090,,YACIMIENTOS MINEROS DE AGUA DE DIONISIO,,,,,,,,,,+54 383 442-0148,,Argentina,,,San Fernando del Valle de Catamarca,"Salta 1127, K4700EHW San Fernando del Valle de Catamarca, Catamarca, Argentina",,,YACIMIENTOS MINEROS DE AGUA DE DIONISIO,,,,,,,,,http://www.ymad.com.ar/,,,,
,I - WW 44029090,,TO THE ORDER OF YES BANK LTD NEW DELHI 110021,,,,,,,,,,+91 11 4032 8200,,India,,,New Delhi,"48, Shopping Centre, Plot no 11, Block C, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021, India",,,TO THE ORDER OF YES BANK LTD NEW DELHI 110021,,,,,,,,,http://www.yesbank.in/,,,,
,I - WW 44029090,,UNITED YEMEN SHIPPING CO,,,,,,,,,,+967 1 447 126,,Yemen,,,Sana'a,"7G St, Sana'a, Yemen",,,UNITED YEMEN SHIPPING CO,,,,,,,,,http://www.yempac.com/,,,,
,I - WW 44029090,,LLC RETEYL TRADE YUG,,,,,,,,,,+1 678-848-2726,,United States,,,Alpharetta,"311 Curie Dr, Alpharetta, GA 30005, USA",,,LLC RETEYL TRADE YUG,,,,,,,,,http://www.yearstrade.com/,,,,
,I - WW 44029090,,YDDN GLOBAL,,,,,,,,,,+880 1873-710083,,Bangladesh,,,ঢাকা,"2-A6 Rupali Building, 3 Lake City Rd, 1229, ঢাকা, Bangladesh",,,YDDN GLOBAL,,,,,,,,,http://www.yddnbangladesh.com/,,,,
,I - WW 44029090,,YASHO INDUSTRIES LIMITED,,,,,,,,,,+91 22 6251 0100,,India,,,Mumbai,"101-102, Peninsula Heights, CD Barfiwala Road, Marg, Ganga Vihar, Andheri West, Mumbai, Maharashtra 400058, India",,,YASHO INDUSTRIES LIMITED,,,,,,,,,http://www.yashoindustries.com/,,,,
,I - WW 44029090,,YASH INTERNATIONAL,,,,,,,,,,+91 495 401 1444,,India,,,Kozhikode,"Yash Tower Hotel Yash International, Mavoor Road Junction, Mavoor Rd, Near Nandilath G- Mart, Tazhekkod, Kozhikode, Kerala 673004, India",,,YASH INTERNATIONAL,,,,,,,,,http://www.yashinternationalhotel.com/,,,,
,I - WW 44029090,,YAMASHO INC,,,,,,,,,,+1 847-981-9342,,United States,,,Elk Grove Village,"750 Touhy Ave, Elk Grove Village, IL 60007, USA",,,YAMASHO INC,,,,,,,,,http://www.yamashoinc.com/,,,,
